City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mocuba,-16.8392,36.9856,69.4,99,76,3.71,MZ,1619910724
Olafsvik,64.8945,-23.7142,35.53,69,65,19.55,IS,1619910495
Olonets,60.9847,32.9698,30.45,87,18,3.91,RU,1619910724
Bouna,9.2667,-3.0,80.69,61,84,6.33,CI,1619910725
Shalinskoye,55.7228,93.7594,35.31,88,91,5.88,RU,1619910725
Leh,34.1667,77.5833,36.99,48,38,1.63,IN,1619910726
Ucluelet,48.9329,-125.5528,53.6,62,20,17.27,CA,1619910646
Mirny,62.5353,113.9611,33.87,98,100,4.12,RU,1619910726
Hays,30.0502,-98.0336,66.99,98,99,11.43,US,1619910726
Half Moon Bay,37.4636,-122.4286,60.8,87,90,20.71,US,1619910499
San Quintín,30.4833,-115.95,65.89,69,93,16.89,MX,1619910727
Chippewa Falls,44.9369,-91.3929,84.2,18,1,11.5,US,1619910727
Berbera,10.4396,45.0143,85.17,72,98,5.19,SO,1619910727
Mahrīz,31.5917,54.4318,69.8,40,0,11.5,IR,1619910728
Ziro,27.6333,93.8333,50.05,91,99,1.21,IN,1619910728
Juneau,58.3019,-134.4197,50.0,53,75,1.1,US,1619910728
Bulgan,48.8125,103.5347,44.44,71,76,0.74,MN,1619910729
Vostok,46.4856,135.8833,38.75,63,75,6.13,RU,1619910430
Mahibadhoo,3.7833,72.9667,83.08,66,26,3.29,MV,1619910496
Santa Cecília,-26.9608,-50.4269,51.46,98,41,3.04,BR,1619910729
Le Port,-20.9373,55.2919,73.99,78,0,6.91,RE,1619910730
Arrondissement de Saumur,47.3333,-0.25,44.01,81,0,6.71,FR,1619910730
Batagay,67.6333,134.6333,30.63,87,100,3.31,RU,1619910730
Quthing,-30.4,27.7003,46.85,73,1,2.95,LS,1619910730
Sabang,5.8933,95.3214,83.66,74,51,11.97,ID,1619910731
Port Hedland,-20.3167,118.5667,71.6,100,90,4.61,AU,1619910731
Makkah al Mukarramah,21.4267,39.8261,83.95,47,96,2.91,SA,1619910731
Gornopravdinsk,60.05,69.9,45.05,53,100,12.73,RU,1619910732
Paita,-5.0892,-81.1144,73.4,78,40,14.97,PE,1619910732
Lake City,30.1897,-82.6393,84.2,36,1,4.61,US,1619910732
Nerchinskiy Zavod,51.3088,119.61,46.2,56,100,7.7,RU,1619910733
Kungurtug,50.5994,97.5228,31.59,88,100,7.92,RU,1619910733
Robe,-37.1833,139.75,62.11,78,57,14.83,AU,1619910733
Road Town,18.4167,-64.6167,80.01,78,40,11.5,VG,1619910734
Caceres,39.522,-6.3748,48.99,70,83,1.01,ES,1619910734
Rosarno,38.4841,15.979,73.4,43,0,8.05,IT,1619910734
Braşov,45.75,25.3333,60.01,75,100,3.22,RO,1619910256
Waipawa,-41.4122,175.5153,55.0,82,2,9.22,NZ,1619910735
Elko,41.0002,-115.5012,75.2,7,1,25.32,US,1619910735
Kargasok,59.0556,80.8572,31.01,88,87,8.12,RU,1619910735
São José da Coroa Grande,-8.8978,-35.1478,77.14,85,97,8.3,BR,1619910736
Buriti dos Lopes,-3.175,-41.8669,72.82,98,100,4.99,BR,1619910736
Kodinsk,58.6881,99.1844,33.94,89,22,3.06,RU,1619910736
Séguéla,7.9611,-6.6731,80.35,61,84,8.03,CI,1619910565
Wanning,18.8003,110.3967,78.53,86,81,4.29,CN,1619910503
La Palma,33.8464,-118.0467,71.6,68,1,9.22,US,1619910737
Honiara,-9.4333,159.95,84.51,67,59,3.2,SB,1619910737
Hondomachi-hondo,32.45,130.2,59.0,55,75,16.11,JP,1619910738
Dingle,10.9995,122.6711,81.32,76,40,8.81,PH,1619910738
Mitchell,43.7094,-98.0298,89.6,15,1,17.27,US,1619910738
Marzuq,14.4,46.4667,64.15,93,100,4.14,YE,1619910668
Ponta Delgada,37.7333,-25.6667,59.0,94,75,11.5,PT,1619910739
Steinbach am Taunus,50.1667,8.5667,51.8,46,40,8.05,DE,1619910739
Zhigansk,66.7697,123.3711,31.42,92,100,5.21,RU,1619910739
Alice Springs,-23.7,133.8833,73.99,42,15,8.66,AU,1619910740
San Cristobal,7.7669,-72.225,77.0,94,75,3.44,VE,1619910740
Canutama,-6.5339,-64.3831,74.88,96,27,1.88,BR,1619910740
Shiggaon,15.0,75.2333,79.74,61,24,4.94,IN,1619910741
Yanam,16.7333,82.2167,76.53,93,10,2.1,IN,1619910538
Río Gallegos,-51.6226,-69.2181,42.8,87,40,4.61,AR,1619910741
Sioux Lookout,50.1001,-91.917,68.0,30,40,13.8,CA,1619910741
Yenagoa,4.9247,6.2642,77.56,93,93,4.41,NG,1619910742
São Miguel do Araguaia,-13.275,-50.1628,76.15,70,100,5.19,BR,1619910742
Derzhavīnsk,51.1,66.3167,49.17,48,59,10.51,KZ,1619910742
Maryville,35.7565,-83.9705,75.2,13,20,0.78,US,1619910743
Vuktyl,63.8567,57.3094,32.49,91,29,10.31,RU,1619910743
Krasnokamensk,50.0979,118.0369,45.84,46,100,10.71,RU,1619910743
Soe,-9.8607,124.284,67.48,84,51,4.47,ID,1619910744
Salym,60.0625,71.4789,41.38,52,100,13.62,RU,1619910744
Ngunguru,-35.6167,174.5,66.0,68,0,4.0,NZ,1619910744
Comodoro Rivadavia,-45.8667,-67.5,60.8,41,0,8.05,AR,1619910745
Kuching,1.55,110.3333,75.2,100,20,2.91,MY,1619910745
Makhinjauri,41.6739,41.694,53.6,100,40,3.44,GE,1619910745
Balkanabat,39.5108,54.3671,74.17,25,97,14.12,TM,1619910745
Kawasaki,35.5206,139.7172,66.99,72,20,12.66,JP,1619910746
Shingū,33.7333,135.9833,59.0,55,75,13.8,JP,1619910746
San Bartolomé de Tirajana,27.9248,-15.5733,66.2,68,40,16.11,ES,1619910746
Altea,38.5989,-0.0514,61.0,81,100,1.21,ES,1619910747
Porbandar,21.6422,69.6093,82.08,71,81,7.05,IN,1619910747
Emerald,-23.5333,148.1667,69.01,77,67,13.8,AU,1619910747
Solnechnyy,50.7214,136.6319,35.1,80,100,9.71,RU,1619910748
San Patricio,28.017,-97.5169,75.2,88,40,9.22,US,1619910463
Codrington,-38.2667,141.9667,60.28,80,100,10.92,AU,1619910748
Sola,-13.8833,167.55,78.12,83,95,11.72,VU,1619910748
Lisala,2.15,21.5167,69.55,94,90,2.68,CD,1619910749
Verkhniy Rohachyk,47.2505,34.338,60.55,75,92,7.76,UA,1619910749
Vytegra,61.0064,36.4481,27.63,85,15,5.41,RU,1619910749
Kununurra,-15.7667,128.7333,66.2,94,0,4.09,AU,1619910750
Santiago del Estero,-27.7951,-64.2615,71.74,50,24,7.54,AR,1619910750
Lloydminster,53.2835,-110.0016,59.0,29,75,19.57,CA,1619910750
Fairbanks,64.8378,-147.7164,44.01,45,40,4.61,US,1619910751
Dalianwan,39.0286,121.695,50.0,66,0,6.71,CN,1619910751
Yorosso,12.3536,-4.7761,87.96,29,33,3.96,ML,1619910751
São João da Barra,-21.6403,-41.0511,71.51,76,94,9.84,BR,1619910752
Troitskoye,52.9821,84.6757,33.71,86,70,7.45,RU,1619910752
Ayer Molek,2.2033,102.3171,75.2,100,20,2.3,MY,1619910752
Minnedosa,50.2453,-99.8436,71.6,24,40,5.75,CA,1619910753
Yar-Sale,66.8333,70.8333,27.28,95,100,20.11,RU,1619910460
Teknāf,20.8624,92.3058,76.14,88,2,2.98,BD,1619910753
Maningrida,-12.0667,134.2667,77.07,78,8,10.65,AU,1619910754
Meadow Lake,34.8014,-106.5436,86.0,13,75,9.22,US,1619910754
Charters Towers,-20.1,146.2667,70.7,68,0,10.07,AU,1619910754
Anloga,5.7947,0.8973,84.2,84,20,11.5,GH,1619910755
Egvekinot,66.3167,-179.1667,18.81,67,100,2.35,RU,1619910492
Quatre Cocos,-20.2078,57.7625,75.0,94,75,4.61,MU,1619910755
Monywa,22.1167,95.1333,81.21,61,0,3.83,MM,1619910755
Lázaro Cárdenas,17.9583,-102.2,82.62,62,99,12.44,MX,1619910756
Porto Santo,33.072,-16.3415,60.8,63,20,5.75,PT,1619910756
Dubbo,-32.25,148.6167,60.8,82,90,10.36,AU,1619910756
Shipunovo,52.1582,82.2173,35.35,81,24,6.73,RU,1619910757
Oakham,52.6667,-0.7333,41.0,81,90,2.3,GB,1619910757
Bubaque,11.2833,-15.8333,78.53,72,16,18.84,GW,1619910757
Hasaki,35.7333,140.8333,66.2,59,20,5.75,JP,1619910758
North Branch,45.5113,-92.9802,87.8,20,1,5.75,US,1619910758
Kochi,9.9399,76.2602,75.2,94,79,5.41,IN,1619910758
Husavik,66.0449,-17.3389,33.8,80,90,8.05,IS,1619910759
Port-Cartier,50.0334,-66.8654,35.01,64,90,18.41,CA,1619910759
Cayenne,4.9333,-52.3333,81.0,83,0,3.44,GF,1619910759
Kangaatsiaq,68.3065,-53.4641,32.59,83,23,10.74,GL,1619910760
Saint-Ambroise,48.5501,-71.3324,48.99,29,76,13.8,CA,1619910760
Xalapa,19.5333,-96.9167,71.38,81,88,4.14,MX,1619910760
Shimoda,34.6667,138.95,60.01,64,12,1.99,JP,1619910761
Verkhoyansk,67.5447,133.385,32.29,82,100,3.53,RU,1619910761
San Miguel,13.4833,-88.1833,91.4,55,20,9.22,SV,1619910761
Puerto Colombia,10.9878,-74.9547,82.4,74,40,10.36,CO,1619910762
Mugur-Aksy,50.35,90.5,22.57,78,81,7.85,RU,1619910762
Lao Cai,22.4833,103.95,73.72,96,100,1.12,VN,1619910762
Porto-Novo,6.4965,2.6036,84.2,84,40,12.66,BJ,1619910631
Ossora,59.2353,163.0719,28.4,61,1,2.42,RU,1619910763
Pajapan,18.25,-94.7,89.6,70,75,11.5,MX,1619910763
Ihosy,-22.4,46.1167,64.06,90,99,2.53,MG,1619910763
Aberchirder,57.5601,-2.6286,39.99,85,15,1.68,GB,1619910764
Whitehorse,60.7161,-135.0538,44.6,45,90,6.91,CA,1619910764
Perevoz,55.5961,44.5446,39.25,84,28,3.85,RU,1619910764
Zhicheng,30.2956,111.5047,71.01,83,95,5.06,CN,1619910764
Bone,51.9669,12.1396,51.01,74,100,1.01,DE,1619910765
Ojinaga,29.5667,-104.4167,77.0,31,1,3.96,MX,1619910765
Bamako,12.65,-8.0,84.2,70,20,3.44,ML,1619910765
Raudeberg,61.9875,5.1352,41.0,78,13,16.2,NO,1619910635
Jesús Carranza,17.4333,-95.0333,94.8,39,100,20.2,MX,1619910766
Hobyo,5.3505,48.5268,84.04,66,99,10.67,SO,1619910766
Shitkino,56.3703,98.3543,35.29,89,98,2.64,RU,1619910766
Nome,64.5011,-165.4064,26.6,68,90,10.36,US,1619910767
Sitka,57.0531,-135.33,46.4,71,90,6.91,US,1619910735
Ust-Maya,60.4167,134.5333,40.68,69,61,9.37,RU,1619910767
Zabid,14.1951,43.3152,82.13,60,93,1.77,YE,1619910767
El Sauzal de Rodríguez,31.9,-116.6833,68.0,72,100,4.0,MX,1619910768
Lewistown,40.5992,-77.5714,64.4,24,1,6.91,US,1619910768
Canberra,-35.2835,149.1281,54.0,100,40,0.31,AU,1619910768
Kumul,42.8,93.45,59.54,30,100,22.26,CN,1619910769
Vila,42.0304,-8.1588,45.0,81,44,1.99,PT,1619910559
Yibin,28.7667,104.6238,73.09,85,84,2.44,CN,1619910769
Belyy Yar,53.6039,91.3903,42.8,75,40,6.71,RU,1619910719
De Aar,-30.6497,24.0123,52.77,53,0,6.38,ZA,1619910770
Waingapu,-9.6567,120.2641,78.04,80,50,8.88,ID,1619910770
Chumikan,54.7183,135.315,31.69,96,100,9.4,RU,1619910482
Kaeo,-35.1,173.7833,66.0,68,0,4.0,NZ,1619910770
Verkhnyaya Toyma,62.2349,44.9985,28.26,70,41,7.34,RU,1619910771
Puerto Escondido,15.85,-97.0667,84.2,65,75,8.05,MX,1619910771
Yaan,7.3833,8.5667,82.02,69,54,10.83,NG,1619910771
Araouane,18.9048,-3.5265,88.07,26,18,4.61,ML,1619910588
Laguna,38.421,-121.4238,84.0,36,1,16.11,US,1619910772
Bahía Blanca,-38.7196,-62.2724,65.21,53,100,4.99,AR,1619910715
Tiarei,-17.5333,-149.3333,87.8,62,20,4.61,PF,1619910772
Betulia,6.1128,-75.9838,60.8,94,75,2.3,CO,1619910772
Gorodishche,48.8045,44.4744,53.6,87,0,4.47,RU,1619910481
San Jerónimo,-11.9472,-75.2829,51.62,72,68,5.03,PE,1619910773
Lokosovo,61.1333,74.8167,33.69,77,91,11.72,RU,1619910773
Pampa,35.5362,-100.9599,80.6,31,40,14.97,US,1619910773
Province of Mantua,45.1667,10.7833,59.0,93,96,5.01,IT,1619910774
Loa Janan,-0.583,117.095,75.06,90,62,0.47,ID,1619910774
Port Blair,11.6667,92.75,82.04,76,41,2.8,IN,1619910539
Birao,10.2849,22.7882,83.23,33,89,3.09,CF,1619910663
Ambovombe,-25.1667,46.0833,70.83,81,100,4.14,MG,1619910774
Vanavara,60.34,102.2797,32.77,89,35,4.74,RU,1619910775
